Medio empleado;Medio empleado;Sexo;Edad;Total;Año
Total;Total;A;Todas las edades;3602;2015
Total;Total;A;0_15;8;2015
Total;Total;A;15_29;296;2015
Total;Total;A;30_39;427;2015
Total;Total;A;40_44;355;2015
Total;Total;A;45_49;387;2015
Total;Total;A;50_54;372;2015
Total;Total;A;55_59;332;2015
Total;Total;A;60_64;251;2015
Total;Total;A;65_69;228;2015
Total;Total;A;70_74;206;2015
Total;Total;A;75_79;247;2015
Total;Total;A;80_84;255;2015
Total;Total;A;85_89;161;2015
Total;Total;A;90_94;64;2015
Total;Total;A;95_mas;13;2015
Total;Total;H;Todas las edades;2680;2015
Total;Total;H;0_15;7;2015
Total;Total;H;15_29;218;2015
Total;Total;H;30_39;332;2015
Total;Total;H;40_44;259;2015
Total;Total;H;45_49;276;2015
Total;Total;H;50_54;279;2015
Total;Total;H;55_59;251;2015
Total;Total;H;60_64;176;2015
Total;Total;H;65_69;166;2015
Total;Total;H;70_74;143;2015
Total;Total;H;75_79;178;2015
Total;Total;H;80_84;205;2015
Total;Total;H;85_89;131;2015
Total;Total;H;90_94;50;2015
Total;Total;H;95_mas;9;2015
Total;Total;M;Todas las edades;922;2015
Total;Total;M;0_15;1;2015
Total;Total;M;15_29;78;2015
Total;Total;M;30_39;95;2015
Total;Total;M;40_44;96;2015
Total;Total;M;45_49;111;2015
Total;Total;M;50_54;93;2015
Total;Total;M;55_59;81;2015
Total;Total;M;60_64;75;2015
Total;Total;M;65_69;62;2015
Total;Total;M;70_74;63;2015
Total;Total;M;75_79;69;2015
Total;Total;M;80_84;50;2015
Total;Total;M;85_89;30;2015
Total;Total;M;90_94;14;2015
Total;Total;M;95_mas;4;2015
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;Todas las edades;2;2015
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;0_15;0;2015
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;15_29;0;2015
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;30_39;0;2015
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;40_44;0;2015
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;45_49;0;2015
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;50_54;1;2015
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;55_59;0;2015
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;60_64;0;2015
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;65_69;1;2015
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;70_74;0;2015
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;75_79;0;2015
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;80_84;0;2015
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;85_89;0;2015
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;90_94;0;2015
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;A;95_mas;0;2015
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;Todas las edades;0;2015
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;0_15;0;2015
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;15_29;0;2015
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;30_39;0;2015
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;40_44;0;2015
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;45_49;0;2015
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;50_54;0;2015
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;55_59;0;2015
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;60_64;0;2015
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;65_69;0;2015
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;70_74;0;2015
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;75_79;0;2015
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;80_84;0;2015
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;85_89;0;2015
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;90_94;0;2015
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;H;95_mas;0;2015
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;Todas las edades;2;2015
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;0_15;0;2015
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;15_29;0;2015
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;30_39;0;2015
X60;X60. Envenenamiento autoinfligido intencionalmente por (exposición a) analgésicos no narcóticos, antipiréticos y antirreumáticos;M;40_44;0;2015
